name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
NGC005530,CF3,214.61375,-43.38944444444444,319.26395340468616,16.70565529527095,15.68158486062587,12.02,12.484697041159375
2MRS_187.25+3.57,2MRS,187.24588,3.5706,289.13238602381955,65.83893757302546,42.06237178729708,12.082191780821917,16.274153840914025
N3056,CF3,148.63708333333335,-28.298055555555557,262.0598210311872,20.207143556644564,39.770024486841706,12.19,15.85962748012904
NGC4487,CF3,187.76875,-8.053611111111111,294.2354702600344,54.47394419369754,30.535734699812387,12.3,14.280532041378693
2MRS_189.65+2.66,2MRS,189.64766,2.65741,295.22404687030615,65.33671240805326,40.82041750218996,12.342465753424657,16.30957045027143
ESO063-011,CF3,168.28208333333333,-69.26138888888889,294.3779067584777,-8.03868458374653,34.62131395580991,12.36,15.019593379510638
N4697,CF3,192.15,-5.8005555555555555,301.63361588231555,57.06404028858129,32.15569320985809,12.42,14.67036009222835
NGC003511,CF3,165.84916666666666,-23.086388888888887,272.9002577389952,33.40901446913323,29.121326365404197,12.47,14.274412152442256
2MRS_196.05-4.89,2MRS,196.05028,-4.89106,308.91112776645036,57.83244049969241,32.951004230210856,12.602739726027398,15.01870934906444
2MRS_147.85-27.01,2MRS,147.8501,-27.01112,260.5892518800868,20.700732350167847,40.974118614767235,12.63013698630137,16.728528526983283
2MRS_143.34-33.03,2MRS,143.33961,-33.03351,261.92273680752686,13.638860245566473,42.01377756398417,12.67123287671233,17.054518729165345
ES501-080,CF3,160.65875,-23.935555555555556,268.6221322091901,30.220866925795626,32.51649719602053,12.71,15.072873263239996
2MRS_148.64-28.30,2MRS,148.63701,-28.29819,262.05986418516005,20.207000014144676,39.770022970406316,12.73972602739726,16.574840405476383
N5338,CF3,208.36041666666665,5.2075000000000005,339.6521275934392,63.567882649027375,44.739923294021935,12.76,17.964008269984994
2MRS_185.10+5.57,2MRS,185.10118,5.57279,282.63370798570145,67.21347160624155,44.419048382046014,12.835616438356164,17.971012348640564
2MRS_190.71+2.69,2MRS,190.70778,2.68778,297.7485013296638,65.47287201634022,40.73778281220904,12.849315068493151,16.958221728009004
2MRS_149.69-28.62,2MRS,149.69263,-28.6219,263.03372795534904,20.571368450374525,38.79411236203579,12.849315068493151,16.486112817036503
2MRS_193.96-12.06,2MRS,193.95685,-12.0553,304.6301103017483,50.80197602002048,25.803547184589213,12.89041095890411,14.31803622797284
ES324-023,CF3,201.87041666666667,-38.17666666666666,310.686731839467,24.1517412857257,5.240245265246689,12.94,12.99430982840633
AGC520188,CF3,192.75541666666666,-6.393611111111111,302.74465906296473,56.477987540883106,31.520504003755892,13.0,15.250105355292606
