glon,glat,dist_mpc,theta_D
136.08,39.4,41.0,114.77344952016256
88.42,60.41,38.1,89.5343979129939
14.92,-53.11,36.7,98.69761591177783
307.98,14.94,34.8,10.44125483039656
309.85,43.08,34.8,18.512588713678248
127.93,28.08,32.9,126.84512140490541
275.88,19.61,31.2,27.418396885184016
123.02,44.48,30.2,110.49638234276189
297.65,23.05,29.8,6.9894975723066315
192.25,50.62,26.9,84.01318083720935
203.93,63.4,25.9,72.54434539376737
139.76,56.43,25.8,97.61295345476894
125.58,41.61,24.7,113.38783264787136
226.52,61.4,24.0,62.76157867028612
236.76,-12.86,22.9,76.4969897852792
4.45,-64.07,22.9,100.29029762498497
129.95,51.37,21.8,103.50562270329532
135.09,32.95,19.7,121.25827233422824
138.05,12.69,13.6,140.21894663031162
225.85,86.23,12.4,64.3469189863412
241.33,64.37,9.6,56.29502380485899
304.21,34.39,317.7,9.414932615420629
305.7,11.71,297.9,13.306497342826413
19.02,60.95,293.9,60.61960187813529
156.62,-67.12,266.3,133.58497674150118
121.94,-67.19,252.7,137.76727829737754
162.28,-68.73,244.7,130.9523823269455
196.03,-56.1,240.3,121.00407971888329
306.63,15.11,240.3,10.007416479253374
161.45,-37.33,238.8,146.7155148093498
258.27,39.61,237.7,41.57992146010016
41.99,-74.66,236.2,115.89603519115951
320.63,-34.05,233.0,60.887759690288426
248.99,44.36,232.3,48.873119076069095
272.15,-39.75,230.7,71.63044728218372
330.89,-44.31,230.1,73.24849197132882
227.45,-26.68,228.7,90.86940068652642
304.71,29.13,228.0,4.138059640223165
170.84,-56.37,228.0,134.55292095309633
343.34,-36.95,227.3,71.69682506722052
324.9,50.02,226.3,29.379577831291652
306.51,31.2,225.6,6.3412158224640205
256.04,-29.07,224.6,71.6533603476974
270.78,-51.23,223.2,81.96504084834925
308.3,51.52,223.2,26.639743045430894
155.08,-73.85,222.8,128.61487294582196
314.52,27.67,222.8,8.936865187024774
334.79,-20.97,220.8,54.32402015693389
11.13,34.17,217.1,57.261709461416004
203.35,-36.2,215.8,113.40856639749391
345.33,-32.61,215.4,69.25353910520745
174.11,-51.76,215.1,134.3586793086554
226.42,18.04,214.5,72.45205864117392
207.79,-36.52,212.5,110.05454472311688
147.35,-77.15,211.5,126.75929961961994
269.7,13.44,206.4,35.1504624436483
179.42,-48.59,204.8,131.74045517962296
340.87,40.37,205.1,33.56275099734416
306.15,-26.05,204.2,51.06208184018502
311.74,49.2,203.2,24.76584023807926
321.61,-12.86,202.3,41.18010730242797
330.79,48.65,199.8,31.088194868769097
181.71,-78.71,199.8,120.78571285331698
237.12,10.7,199.5,65.55620025396948
306.39,28.46,197.7,3.67586457675998
219.47,-31.92,195.4,99.4100398690641
337.03,-50.85,195.3,80.94656175820049
308.76,40.67,195.3,15.980876667151632
240.01,32.96,195.0,56.53536294757705
206.65,-49.97,194.7,114.0952344709969
273.01,-43.53,193.8,74.5599860774394
48.19,-54.56,192.3,117.6604748810554
200.99,-34.52,191.7,114.85180148164447
303.26,17.81,190.8,7.369896830247868
211.88,-23.83,190.5,102.46661456801888
356.64,-37.23,190.0,78.922107210811
337.67,-61.83,190.0,90.7099823394901
315.17,38.97,189.4,16.392439524595762
215.24,-31.1,189.4,102.41821148343861
308.97,21.36,189.1,5.15371455318809
357.63,-42.02,188.5,82.77458031339745
259.99,-24.87,186.5,66.19732759223326
